
_________________________ 
GENERAL NAKSHATRA FOR EACH CHAMPION | KEY PLAYSTYLE: 
aatrox: dhanista | uttarabhadrapada
ahri: ashwini | ardra
akali: vishaka | ashlesha
alistar: dhanista | pushya
amumu: jyestha | uttarabhadrapada
anivia: magha | purvabhadrapada
annie: magha | pushya
aphelios: vishaka | chitra
ashe: shravana | purvashadha
aurelion sol: uttaraphalguni | shravana
azir: hasta | ashlesha
bard: purvaphalguni | purvashadha
blitzcrank: purvabhadrapada | uttarabhadrapada
brand: uttarashadha | bharani
braum: chitra | anuradha
caitlin: uttarashadha | swatti
camille: shravana | mrigashira
cassiopeia: ardra | jyestha
chogath: vishaka | chitra
corki: swatti | mrigashira
darius: revati | jyestha
diana: purvaphalguni | punarvasu
dr mundo: bharani | revati
draven: pushya | mrigashira
ekko: magha | uttarabadrapada
elise: pushya | ashlesha
evelyn: ardra | dhanista
ezreal: magha | ardra
fiddlesticks: ashlesha | hasta
fiora: chitra | anuradha
fiz: purvabhadrapada | pushya
galio: purvabhadrapada | punarvasu
gangplank: vishaka | rohini
garen: vishaka | purvashadha
gnar: bharani | satabishaka
gragas: jyestha | purvashadha
graves: anuradha | dhanista
hecarim: rohini | swatti
heimerdinger: hasta | ardra
illaoi: uttarabhadrapada | purvashadha
irelia: jyestha | vishaka
ivern: chitra | satabishaka
janna: chitra | hasta
jarvan IV: dhanista | magha
jax: revati | shravana
jayce: rohini | magha
jhin: mrigashira | pushya
jinx: ashlesha | ashlesha
kaisa: chitra | anuradha
kalista: chitra | moola
karma: revati | revati
karthus: punarvasu | uttarashadha
kassadin: magha | revati
katarina: uttarabhadrapada | krittika
kayle: purvashadha | shravana
kayn: bharani | purvashadha
kennen: uttaraphalguni | bharani
khazix: swatti | satabishaka
kindred: satabishaka | rohini
kled: purvaphalguni | bharani
kogmaw: uttaraphalguni | purvashadha
leblanc: chitra | chitra
lee sin: punarvasu | dhanitsa
leona: moola | ashwini 
lissanda: moola | purvashadha
lucian: ashlesha | ashlesha
lulu: punarvasu | purvaphalguni
lux: moola | krittika
malphite: swatti | hasta
malzahar: magha | hasta
maokai: purashadha | moola
master yi: swatti | hasta
miss fortune: satabishaka | rohini
mordekaiser: satabishaka | mrigashira
morgana: anuradha | hasta
nami: ashwini | anuradha
nasus: bharani | chitra
nautilus: vishaka | uttarashadha
neeko: rohini | hasta
nidalee: hasta | ashwini
nocturne: bharani | ardra
nunu & willump: krittika | magha
olaf: uttarashadha | krittika
orianna: anuradha | purvabhadrapada
ornn: revatti | satabishaka
pantheon: hasta | jyestha
poppy: punarvasu | ardra
pyke: krittika | krittika
qiyana: uttarashadha | moola
quinn: magha | rohini
rakan: purvashadha | ardra
rammus: purvaphalguni | satabishaka
reksai: vishaka | rohini
renektron: rohini | moola
rengar: purvashadha | hasta
riven: pushya | uttarabhadrapada
rumble: ardra | vishaka
ryze: vishaka | dhanista
sejuani: rohini | uttarabhadrapada
senna: shravana | rohini
sett: krittika | ashlesha
shaco: ardra | bharani
shen: bharani | ashwini
shyvana: vishaka | bharani
singed: hasta | uttarashadha
sion: moola | jyestha
sivir: uttarashadha | bharani
skarner: hasta | krittika
sona: rohini | dhanitsa
soraka: purvaphalguni | revati
swain: satabishaka | mrigashira
sylas: krittika | satabishaka
syndra: jyestha | chitra
tahm kench: uttaraphalguni | anuradha
taliyah: purvashada | purvabhadrapada
talon: magha | uttarabhadrapada
taric: punarvasu | uttarashadha, pushya
teemo: pushya | bharani
thresh: bharani | satabishaka
tristana: ardra | purvabhadrapada
trundle: dhanista, rohini | shravana
tryndamere: punarvasu | pushya
twisted fate: uttarabhadrapada | magha
twitch: rohini | ardra
udyr: dhanista | ashwini
urgot: shravana | satabishaka
varus: punarvasu | ashwini
vayne: hasta | ashlesha
veigar: uttarabhadrapada | hasta
velkoz: swatti | vishaka
